Date,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
198406,2.2199,3.0291,3.1721,1.0658,3.3961,3.2550
198407,-5.8562,-2.0183,-4.7289,-4.0536,-1.1136,-0.8529
198408,10.5301,10.0422,13.0417,12.9727,9.9355,12.2729
198409,0.4689,1.6127,-2.0709,0.7561,0.5338,-1.4797
198410,-2.4792,0.2625,-1.2911,-0.8108,1.0914,0.0745
198411,-1.8675,-0.2452,-3.3511,-0.0156,-0.4222,-2.4293
198412,0.5579,2.2113,2.7838,2.1854,2.5658,2.7797
198501,10.5973,9.8145,13.7669,7.1028,6.8492,10.8491
198502,2.5572,2.5492,2.3798,2.6978,1.8625,0.5460
198503,-1.0602,-0.1487,-2.6996,1.9519,0.4066,-2.1357
198504,-0.8495,0.8355,-1.5832,-0.0792,-0.1967,-0.7749
198505,2.8920,3.7526,4.5453,5.4587,6.1258,6.6623
198506,0.6220,2.5246,2.2155,1.0427,1.9739,1.4952
198507,2.5781,2.1114,2.5628,-0.5335,-0.8873,0.2224
198508,-0.3746,0.6445,-2.0775,0.5556,-0.3318,-1.6047
198509,-5.6006,-4.2587,-6.5389,-2.4788,-3.3115,-4.6919
198510,2.7808,4.1114,3.1215,3.4234,5.3329,5.2077
198511,4.6763,7.2168,7.9279,6.0828,7.2697,7.5331
198512,2.8662,4.5721,4.6730,3.5782,4.4727,5.3019
198601,1.3674,1.6257,2.5270,-1.3003,1.5834,1.5177
198602,5.5570,7.7581,7.5956,6.6262,9.0994,7.0530
198603,5.0140,5.2332,4.5124,5.8089,6.0413,4.6935
198604,0.8285,1.0885,2.1609,0.6602,-2.5944,-0.4711
198605,3.5677,5.0112,3.3700,6.3179,5.4082,4.3092
198606,0.1277,1.4727,0.0318,1.1087,3.0311,-0.4529
198607,-9.4859,-6.9919,-10.1313,-6.4283,-3.6444,-7.4090
198608,3.8635,3.5903,2.4555,10.5564,7.4112,5.3276
198609,-4.9256,-5.5526,-7.3883,-4.1132,-9.3421,-9.0732
198610,3.6137,2.9062,3.6097,6.5518,5.8052,4.5381
198611,0.0843,0.3739,-0.4404,2.0941,2.3331,1.2254
198612,-2.9751,-1.7674,-2.9713,-3.1695,-2.2433,-3.3503
198701,11.8997,10.0925,11.9301,11.2637,13.4109,13.2873
198702,7.6731,6.8625,7.8065,1.9110,3.2280,6.8677
198703,4.6960,1.4104,1.1263,5.8882,1.5064,1.1097
198704,-1.8408,-2.9886,-3.4522,-0.3132,-2.0401,-1.0228
198705,0.5885,-0.0073,-0.1153,1.8531,0.5761,0.3061
198706,3.0389,2.8761,2.3774,5.2620,5.5619,3.7796
198707,5.2014,3.4258,2.3175,5.4939,3.5438,5.2140
198708,1.2076,3.7593,3.5835,3.8388,4.0982,4.5607
198709,-0.6849,-1.4230,-2.4466,-1.2420,-2.0792,-3.1214
198710,-29.7413,-26.3066,-32.0143,-21.3540,-20.1220,-23.5604
198711,-4.6720,-2.8687,-6.6928,-8.9822,-7.0639,-8.1627
198712,5.5849,6.8860,8.2065,6.3866,6.8105,8.6831
198801,5.7775,4.2646,3.2378,6.0460,4.0526,4.3939
198802,7.7650,8.4203,7.9986,5.4541,4.3208,5.1073
198803,4.4062,3.3739,3.1995,-0.7766,-3.2314,-3.1382
198804,3.2369,2.0688,0.8449,1.8551,0.6192,0.4527
198805,-1.6398,-1.6191,-2.2534,0.2712,1.0401,0.2868
198806,4.9352,7.5655,7.5312,1.8732,5.6203,6.3230
198807,0.0636,-0.3111,-2.0788,-0.6503,-0.3374,-1.5727
198808,-2.0155,-1.8858,-3.7911,-2.3284,-2.3806,-3.8436
198809,2.2632,3.4563,2.1972,3.5512,4.1476,4.7099
198810,-0.7857,-0.5799,-1.0664,3.6461,1.9473,1.9391
198811,-2.3955,-2.8010,-3.9402,-0.4938,-1.4988,-2.2384
198812,4.3251,3.0831,3.8135,1.3049,1.8034,2.5828
198901,5.1741,4.2088,4.7677,7.4094,6.2997,7.5914
198902,1.4724,1.2898,0.0887,-0.3561,-2.1893,-2.7358
198903,2.9209,2.9019,3.1093,2.9618,2.2411,1.4764
198904,3.9760,3.9161,4.7498,5.0153,5.2004,5.1969
198905,3.8196,3.6136,4.5025,4.0244,4.3178,3.8597
198906,-0.7729,-0.4896,-3.0073,-0.2055,-0.3105,-1.0062
198907,3.8548,3.6970,4.6210,8.5520,8.0794,8.8980
198908,1.9830,2.8867,2.6793,2.0194,1.7431,2.5472
198909,0.2779,0.1628,0.5665,0.9022,-0.5508,-0.5449
198910,-6.8604,-5.2196,-5.7692,-1.5636,-3.1687,-2.4316
198911,1.5758,0.2102,0.4375,2.7921,1.8723,1.1732
198912,-0.5758,0.3495,-0.1175,4.1086,1.7638,1.0298
199001,-7.0799,-7.6529,-9.8456,-7.0676,-7.0698,-7.1037
199002,2.3218,1.8785,3.9450,1.7752,1.4609,1.3799
199003,3.4377,3.2552,4.5053,2.0985,2.0441,2.9084
199004,-3.8181,-2.2458,-3.6482,-3.7109,-2.5280,-1.8799
199005,6.1019,6.1451,8.1163,8.5405,9.6227,9.7781
199006,1.3315,0.5789,0.3463,-1.7987,-0.4174,-0.0313
199007,-3.1306,-3.2360,-5.3624,1.6389,-0.7077,-2.5589
199008,-12.0791,-11.1826,-14.9228,-7.2407,-8.9300,-10.3800
199009,-8.4158,-7.8028,-10.5610,-3.0630,-4.0371,-8.1485
199010,-7.6045,-4.1983,-6.5979,-1.7428,0.6264,-2.2453
199011,4.7890,5.7957,9.4347,4.8497,6.2140,9.6300
199012,2.3097,4.2145,3.7441,2.2147,2.4513,4.7421
199101,8.9428,6.7755,9.5924,0.9829,4.1731,8.4776
199102,12.1386,10.0074,11.6698,6.6310,7.0829,7.7793
199103,7.1165,4.3484,7.8578,2.0590,2.7504,3.3010
199104,0.7071,1.1633,-0.0035,1.3362,-0.2094,0.4205
199105,4.1745,3.8292,4.4559,1.3806,3.9925,5.8183
199106,-5.1356,-2.3020,-5.1679,-3.7190,-4.5009,-5.0385
199107,2.9440,2.4416,4.6880,4.4674,4.1344,5.6085
199108,3.9841,3.1578,4.1352,3.0582,1.7066,3.5508
199109,0.0279,0.0851,1.2668,-0.7509,-0.9204,-1.9173
199110,2.3141,1.5633,3.2254,1.6896,1.6985,1.3831
199111,-4.3076,-4.1873,-5.1420,-3.3038,-5.0596,-2.2311
199112,7.4437,7.5462,9.3681,9.8182,9.3271,14.1669
199201,11.4238,7.7007,6.8231,0.6629,-2.1322,-1.2305
